product_id,order_id,customer_id,customer_name,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
pid_14,oid_1,cid_2210,Benjamin White,Calibration Fluid 35ppt,Testing & Calibration,Card,3,6.5,2023-10-27 05:02:41,France,Paris,EBay,ptx_4401788045,Y,
pid_17,oid_1,cid_2210,Benjamin White,Reef Salt 25 kg,Consumables,Card,2,80.0,2023-10-27 05:02:41,France,Paris,EBay,ptx_4401788045,Y,
pid_9,oid_2,cid_220,Charlotte Parker,Protein Skimmer 65,Filtration,Card,3,129.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
pid_24,oid_2,cid_220,Charlotte Parker,Cable Management Clips (10-pack),Accessories,Card,2,6.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
pid_3,oid_2,cid_220,Charlotte Parker,Kessil A360X Tuna Blue,Lighting,Card,4,450.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
pid_2,oid_2,cid_220,Charlotte Parker,Radion XR15 G6 Blue,Lighting,Card,1,470.0,2024-01-28 16:37:14,United States,Columbus,Website,ptx_7478432683,Y,
pid_5,oid_3,cid_2607,Casey White,Jebao Wavemaker SLW-20,Pumps,Apple Pay,1,75.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
pid_13,oid_3,cid_2607,Casey White,Refractometer (Salinity),Testing & Calibration,Apple Pay,2,25.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
pid_15,oid_3,cid_2607,Casey White,Nitrate Test Kit,Testing & Calibration,Apple Pay,3,20.0,2024-02-16 13:44:34,Germany,Cologne,,ptx_9119941057,Y,
pid_23,oid_3,cid_2607,Casey White,Coral Bone Cutter,Accessories,Apple Pay,3,19.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
pid_3,oid_3,cid_2607,Casey White,Kessil A360X Tuna Blue,Lighting,Apple Pay,1,450.0,2024-02-16 13:44:34,Germany,Cologne,Website,ptx_9119941057,Y,
pid_7,oid_4,cid_296,Alex Martinez,DC Return Pump 1300 GPH,Pumps,Card,1,129.0,2024-10-17 15:05:02,Canada,Winnipeg,EBay,ptx_9539263329,N,Gateway timeout
pid_19,oid_4,cid_296,Alex Martinez,Magnesium 500 ml,Consumables,Card,1,12.0,2024-10-17 15:05:02,Canada,Winnipeg,EBay,ptx_9539263329,N,Gateway timeout
pid_12,oid_4,cid_296,Alex Martinez,RO/DI System 4-Stage,Filtration,Card,5,170.0,2024-10-17 15:05:02,Canada,Winnipeg,EBay,ptx_9539263329,N,Gateway timeout
pid_3,oid_4,cid_296,Alex Martinez,Kessil A360X Tuna Blue,Lighting,Card,4,450.0,2024-10-17 15:05:02,Canada,Winnipeg,EBay,ptx_9539263329,N,Gateway timeout
pid_4,oid_5,cid_2160,Grace Phillips,Refugium Light,Lighting,Card,2,50.0,2024-07-19 06:35:40,Germany,Cologne,Website,ptx_9575211167,Y,
pid_6,oid_6,cid_692,Jamie Evans,Sicce Syncra 2.0 Return Pump,Pumps,Apple Pay,1,95.0,2024-06-02 20:56:39,Canada,Toronto,Amazon,ptx_1767527305,N,Gateway timeout
pid_19,oid_6,cid_692,Jamie Evans,Magnesium 500 ml,Consumables,Apple Pay,3,12.0,2024-06-02 20:56:39,Canada,Toronto,Amazon,ptx_1767527305,N,Gateway timeout
pid_19,oid_6,cid_692,Jamie Evans,Magnesium 500 ml,Consumables,Apple Pay,1,12.0,2024-06-02 20:56:39,Canada,Toronto,Amazon,ptx_1767527305,N,Gateway timeout
pid_2,oid_7,cid_806,Nora Lopez,Radion XR15 G6 Blue,Lighting,Google Pay,2,470.0,2024-10-12 16:33:58,France,Nice,Amazon,ptx_1417180346,Y,
pid_11,oid_7,cid_806,Nora Lopez,Activated Carbon 1 lb,Filtration,Google Pay,4,12.5,2024-10-12 16:33:58,France,Nice,Amazon,ptx_1417180346,Y,
pid_4,oid_7,cid_806,Nora Lopez,Refugium Light,Lighting,Google Pay,5,50.0,2024-10-12 16:33:58,France,Nice,Amazon,ptx_1417180346,Y,
pid_1,oid_7,cid_806,Nora Lopez,AI Prime 16HD,Lighting,Google Pay,4,240.0,2024-10-12 16:33:58,France,Nice,Amazon,ptx_1417180346,Y,
pid_17,oid_8,cid_2603,Ryan Carter,Reef Salt 25 kg,Consumables,Card,3,80.0,2024-01-24 17:03:23,Germany,Leipzig,Amazon,ptx_3529853385,Y,
pid_5,oid_8,cid_2603,Ryan Carter,Jebao Wavemaker SLW-20,Pumps,Card,1,75.0,2024-01-24 17:03:23,Germany,Leipzig,Amazon,ptx_3529853385,Y,
pid_15,oid_8,cid_2603,Ryan Carter,Nitrate Test Kit,Testing & Calibration,Card,4,20.0,2024-01-24 17:03:23,Germany,Leipzig,Amazon,ptx_3529853385,Y,
pid_23,oid_8,cid_2603,Ryan Carter,Coral Bone Cutter,Accessories,Card,1,19.0,2024-01-24 17:03:23,Germany,Leipzig,Amazon,ptx_3529853385,Y,
pid_3,oid_9,cid_118,Nikita White,Kessil A360X Tuna Blue,Lighting,Google Pay,5,450.0,2024-05-07 08:49:20,United States,San Diego,Website,ptx_9093920278,N,Gateway timeout
pid_23,oid_9,cid_118,Nikita White,Coral Bone Cutter,Accessories,Google Pay,5,19.0,2024-05-07 08:49:20,United States,San Diego,Website,ptx_9093920278,N,Gateway timeout
pid_18,oid_9,cid_118,Nikita White,Coral Food 60 g,Consumables,Google Pay,3,14.5,2024-05-07 08:49:20,United States,San Diego,Website,ptx_9093920278,N,Gateway timeout
pid_23,oid_9,cid_118,Nikita White,Coral Bone Cutter,Accessories,Google Pay,5,19.0,2024-05-07 08:49:20,United States,San Diego,Website,ptx_9093920278,N,Gateway timeout
pid_12,oid_10,cid_1028,Michael Martinez,RO/DI System 4-Stage,Filtration,Apple Pay,1,170.0,2024-06-04 11:42:00,Canada,Hamilton,Website,ptx_2437354396,Y,
pid_1,oid_10,cid_1028,Michael Martinez,AI Prime 16HD,Lighting,Apple Pay,1,240.0,2024-06-04 11:42:00,Canada,Hamilton,Website,ptx_2437354396,Y,
pid_11,oid_10,cid_1028,Michael Martinez,Activated Carbon 1 lb,Filtration,Apple Pay,5,12.5,2024-06-04 11:42:00,Canada,Hamilton,Website,ptx_2437354396,Y,
pid_14,oid_10,cid_1028,Michael Martinez,Calibration Fluid 35ppt,Testing & Calibration,Apple Pay,3,6.5,2024-06-04 11:42:00,Canada,Hamilton,Website,ptx_2437354396,Y,
pid_20,oid_11,cid_1695,Chloe Harris,Amino Acids 250 ml,Consumables,Google Pay,4,24.0,2024-01-15 20:12:02,United States,  San Antonio 	,Amazon,ptx_8543247071,Y,
pid_8,oid_11,cid_1695,Chloe Harris,Auto Top-Off Utility Pump,Pumps,Google Pay,3,33.0,2024-01-15 20:12:02,United States,San Antonio,Amazon,ptx_8543247071,Y,
pid_20,oid_11,cid_1695,Chloe Harris,Amino Acids 250 ml,Consumables,Google Pay,5,24.0,2024-01-15 20:12:02,United States,San Antonio,Amazon,ptx_8543247071,Y,
pid_15,oid_11,cid_1695,Chloe Harris,Nitrate Test Kit,Testing & Calibration,Google Pay,5,20.0,2024-01-15 20:12:02,United States,San Antonio,Amazon,ptx_8543247071,Y,
pid_15,oid_11,cid_1695,Chloe Harris,Nitrate Test Kit,Testing & Calibration,Google Pay,4,20.0,2024-01-15 20:12:02,United States,San Antonio,Amazon,ptx_8543247071,Y,
pid_11,oid_12,cid_1323,Riley Green,Activated Carbon 1 lb,Filtration,Google Pay,2,12.5,2023-04-12 19:29:35,Mexico,Leon,Website,ptx_2080996114,Y,
pid_21,oid_12,cid_1323,Riley Green,Ceramic Frag Plug (10-pack),Accessories,Google Pay,5,9.0,2023-04-12 19:29:35,Mexico,Leon,Website,ptx_2080996114,Y,
pid_20,oid_12,cid_1323,Riley Green,Amino Acids 250 ml,Consumables,Google Pay,5,24.0,2023-04-12 19:29:35,Mexico,Leon,Website,ptx_2080996114,Y,
pid_2,oid_13,cid_212,Avery Parker,Radion XR15 G6 Blue,Lighting,Apple Pay,4,470.0,2024-01-20 13:56:07,Canada,Calgary,EBay,ptx_1385940108,Y,
pid_16,oid_13,cid_212,Avery Parker,Alkalinity Checker,Testing & Calibration,Apple Pay,5,55.0,2024-01-20 13:56:07,Canada,Calgary,EBay,ptx_1385940108,Y,
pid_24,oid_14,cid_499,William Garcia,Cable Management Clips (10-pack),Accessories,Google Pay,3,6.0,2024-12-14 17:42:57,United States,New York,Website,ptx_1189131245,Y,
pid_9,oid_15,cid_1497,Michael Smith,Protein Skimmer 65,Filtration,Google Pay,5,129.0,2023-04-04 02:20:01,France,Montpellier,Website,ptx_4492459595,Y,
pid_2,oid_15,cid_1497,Michael Smith,Radion XR15 G6 Blue,Lighting,Google Pay,1,470.0,2023-04-04 02:20:01,France,Montpellier,Website,ptx_4492459595,Y,
pid_3,oid_15,cid_1497,Michael Smith,Kessil A360X Tuna Blue,Lighting,Google Pay,5,450.0,2023-04-04 02:20:01,France,Montpellier,Website,ptx_4492459595,Y,
pid_8,oid_16,cid_712,Avery Lopez,Auto Top-Off Utility Pump,Pumps,Card,2,33.0,2024-09-17 19:25:42,Mexico,Mexico City,EBay,ptx_4369216871,Y,
pid_1,oid_16,cid_712,Avery Lopez,AI Prime 16HD,Lighting,Card,1,240.0,2024-09-17 19:25:42,Mexico,Mexico City,EBay,ptx_4369216871,Y,
pid_2,oid_16,cid_712,Avery Lopez,Radion XR15 G6 Blue,Lighting,Card,1,470.0,2024-09-17 19:25:42,Mexico,Mexico City,EBay,ptx_4369216871,Y,
pid_12,oid_17,cid_811,Nikita Williams,RO/DI System 4-Stage,Filtration,Apple Pay,2,170.0,2023-09-03 20:02:27,Canada,Edmonton,Website,ptx_6644077361,Y,
pid_21,oid_17,cid_811,Nikita Williams,Ceramic Frag Plug (10-pack),Accessories,Apple Pay,5,9.0,2023-09-03 20:02:27,Canada,Edmonton,Website,ptx_6644077361,Y,
pid_11,oid_18,cid_2558,Liam Martinez,Activated Carbon 1 lb,Filtration,Apple Pay,4,12.5,2024-12-16 19:51:42,Canada,Vancouver,Amazon,ptx_3323460093,Y,
pid_10,oid_18,cid_2558,Liam Martinez,Filter Sock (2-pack) 200µ,Filtration,Apple Pay,2,15.0,2024-12-16 19:51:42,Canada,Vancouver,Amazon,ptx_3323460093,Y,
pid_1,oid_18,cid_2558,Liam Martinez,AI Prime 16HD,Lighting,Apple Pay,3,240.0,2024-12-16 19:51:42,Canada,Vancouver,Amazon,ptx_3323460093,Y,
pid_1,oid_18,cid_2558,Liam Martinez,AI Prime 16HD,Lighting,Apple Pay,2,240.0,2024-12-16 19:51:42,Canada,Vancouver,Amazon,ptx_3323460093,Y,
pid_16,oid_19,cid_106,Olivia Hill,Alkalinity Checker,Testing & Calibration,Apple Pay,1,55.0,2023-12-22 01:10:04,Canada,Edmonton,Amazon,ptx_1696260824,Y,
pid_9,oid_20,cid_319,Daniel Harris,Protein Skimmer 65,Filtration,Google Pay,2,129.0,2024-03-14 17:44:52,United States,Dallas,Amazon,ptx_8885654886,Y,
pid_23,oid_20,cid_319,Daniel Harris,Coral Bone Cutter,Accessories,Google Pay,4,19.0,2024-03-14 17:44:52,United States,Dallas,Amazon,ptx_8885654886,Y,
pid_20,oid_21,cid_12,Quinn Smith,Amino Acids 250 ml,Consumables,Card,5,24.0,2024-10-06 17:13:31,Canada,Mississauga,Website,ptx_5485443037,Y,
pid_21,oid_21,cid_12,Quinn Smith,Ceramic Frag Plug (10-pack),Accessories,Card,2,9.0,2024-10-06 17:13:31,Canada,Mississauga,Website,ptx_5485443037,Y,
pid_12,oid_22,cid_2477,Michael Smith,RO/DI System 4-Stage,Filtration,Google Pay,1,170.0,2023-02-22 01:30:07,United States,Los Angeles,EBay,ptx_9261835720,Y,
pid_23,oid_22,cid_2477,Michael Smith,Coral Bone Cutter,Accessories,Google Pay,3,19.0,2023-02-22 01:30:07,United States,Los Angeles,EBay,ptx_9261835720,Y,
pid_15,oid_22,cid_2477,Michael Smith,Nitrate Test Kit,Testing & Calibration,Google Pay,3,20.0,2023-02-22 01:30:07,United States,Los Angeles,EBay,ptx_9261835720,Y,
pid_8,oid_22,cid_2477,Michael Smith,Auto Top-Off Utility Pump,Pumps,Google Pay,2,33.0,2023-02-22 01:30:07,United States,Los Angeles,EBay,ptx_9261835720,Y,
pid_9,oid_22,cid_2477,Michael Smith,Protein Skimmer 65,Filtration,Google Pay,5,129.0,2023-02-22 01:30:07,United States,Los Angeles,EBay,ptx_9261835720,Y,
pid_15,oid_23,cid_133,Michael Wright,Nitrate Test Kit,Testing & Calibration,Google Pay,1,20.0,2023-08-30 01:00:57,Great Britain,London,EBay,ptx_8650730228,Y,
pid_16,oid_24,cid_741,Pat Mitchell,Alkalinity Checker,Testing & Calibration,Apple Pay,1,55.0,2023-10-20 02:34:24,United States,Columbus,EBay,ptx_4750431165,Y,
pid_4,oid_25,cid_2889,Chris Baker,Refugium Light,Lighting,Apple Pay,4,50.0,2023-01-08 08:32:39,Great Britain,Birmingham,EBay,ptx_5224582514,Y,
pid_7,oid_25,cid_2889,Chris Baker,DC Return Pump 1300 GPH,Pumps,Apple Pay,1,129.0,2023-01-08 08:32:39,Great Britain,Birmingham,EBay,ptx_5224582514,Y,
pid_20,oid_25,cid_2889,Chris Baker,Amino Acids 250 ml,Consumables,Apple Pay,3,24.0,2023-01-08 08:32:39,Great Britain,Birmingham,EBay,ptx_5224582514,Y,
pid_12,oid_25,cid_2889,Chris Baker,RO/DI System 4-Stage,Filtration,Apple Pay,1,170.0,2023-01-08 08:32:39,Great Britain,Birmingham,EBay,ptx_5224582514,Y,
pid_15,oid_26,cid_87,Nora Garcia,Nitrate Test Kit,Testing & Calibration,Google Pay,5,20.0,2023-02-27 03:07:09,Germany,Dortmund,EBay,ptx_5022454414,Y,
pid_21,oid_26,cid_87,Nora Garcia,Ceramic Frag Plug (10-pack),Accessories,Google Pay,3,9.0,2023-02-27 03:07:09,Germany,Dortmund,EBay,ptx_5022454414,Y,
pid_20,oid_26,cid_87,Nora Garcia,Amino Acids 250 ml,Consumables,Google Pay,3,24.0,2023-02-27 03:07:09,Germany,Dortmund,EBay,ptx_5022454414,Y,
pid_21,oid_26,cid_87,Nora Garcia,Ceramic Frag Plug (10-pack),Accessories,Google Pay,1,9.0,2023-02-27 03:07:09,Germany,Dortmund,EBay,ptx_5022454414,Y,
pid_2,oid_27,cid_2034,Aleksei Moore,Radion XR15 G6 Blue,Lighting,Card,1,470.0,2024-07-06 08:34:28,United States,Houston,Amazon,ptx_8041358551,Y,
pid_9,oid_27,cid_2034,Aleksei Moore,Protein Skimmer 65,Filtration,Card,3,129.0,2024-07-06 08:34:28,United States,Houston,Amazon,ptx_8041358551,Y,
pid_4,oid_27,cid_2034,Aleksei Moore,Refugium Light,Lighting,Card,2,50.0,2024-07-06 08:34:28,United States,Houston,Amazon,ptx_8041358551,Y,
pid_11,oid_28,cid_2418,Noah Hill,Activated Carbon 1 lb,Filtration,Apple Pay,5,12.5,2023-10-27 17:05:46,Great Britain,Glasgow,EBay,ptx_4699329608,Y,
pid_12,oid_28,cid_2418,Noah Hill,RO/DI System 4-Stage,Filtration,Apple Pay,5,170.0,2023-10-27 17:05:46,Great Britain,Glasgow,EBay,ptx_4699329608,Y,
pid_9,oid_29,cid_121,Ella Baker,Protein Skimmer 65,Filtration,Google Pay,4,129.0,2024-08-24 21:33:01,Mexico,Cancún,Website,ptx_9246182671,Y,
pid_14,oid_29,cid_121,Ella Baker,Calibration Fluid 35ppt,Testing & Calibration,Google Pay,1,6.5,2024-08-24 21:33:01,Mexico,Cancún,Website,ptx_9246182671,Y,
pid_21,oid_29,cid_121,Ella Baker,Ceramic Frag Plug (10-pack),Accessories,Google Pay,5,9.0,2024-08-24 21:33:01,Mexico,Cancún,Website,ptx_9246182671,Y,
pid_5,oid_29,cid_121,Ella Baker,Jebao Wavemaker SLW-20,Pumps,Google Pay,4,75.0,2024-08-24 21:33:01,Mexico,Cancún,Website,ptx_9246182671,Y,
pid_1,oid_29,cid_121,Ella Baker,AI Prime 16HD,Lighting,Google Pay,2,240.0,2024-08-24 21:33:01,Mexico,Cancún,Website,ptx_9246182671,Y,
pid_24,oid_30,cid_2472,Sophia Brown,Cable Management Clips (10-pack),Accessories,Apple Pay,2,6.0,2024-10-10 01:39:06,Mexico,Monterrey,Website,ptx_5507220909,Y,
pid_20,oid_30,cid_2472,Sophia Brown,Amino Acids 250 ml,Consumables,Apple Pay,3,24.0,2024-10-10 01:39:06,Mexico,Monterrey,Website,ptx_5507220909,Y,
pid_23,oid_30,cid_2472,Sophia Brown,Coral Bone Cutter,Accessories,Apple Pay,3,19.0,2024-10-10 01:39:06,Mexico,Monterrey,Website,ptx_5507220909,Y,
pid_19,oid_30,cid_2472,Sophia Brown,Magnesium 500 ml,Consumables,Apple Pay,1,12.0,2024-10-10 01:39:06,Mexico,Monterrey,Website,ptx_5507220909,Y,
pid_6,oid_30,cid_2472,Sophia Brown,Sicce Syncra 2.0 Return Pump,Pumps,Apple Pay,3,95.0,2024-10-10 01:39:06,Mexico,Monterrey,Website,ptx_5507220909,Y,
pid_16,oid_31,cid_2618,Sasha Lewis,Alkalinity Checker,Testing & Calibration,Apple Pay,5,55.0,2024-10-07 00:18:56,Canada,Hamilton,Amazon,ptx_6114068658,Y,
pid_20,oid_31,cid_2618,Sasha Lewis,Amino Acids 250 ml,Consumables,Apple Pay,5,24.0,2024-10-07 00:18:56,Canada,Hamilton,Amazon,ptx_6114068658,Y,
pid_11,oid_31,cid_2618,Sasha Lewis,Activated Carbon 1 lb,Filtration,Apple Pay,1,12.5,2024-10-07 00:18:56,Canada,Hamilton,Amazon,ptx_6114068658,Y,
pid_7,oid_31,cid_2618,Sasha Lewis,DC Return Pump 1300 GPH,Pumps,Apple Pay,5,129.0,2024-10-07 00:18:56,Canada,Hamilton,Amazon,ptx_6114068658,Y,
pid_16,oid_31,cid_2618,Sasha Lewis,Alkalinity Checker,Testing & Calibration,Apple Pay,1,55.0,2024-10-07 00:18:56,Canada,Hamilton,Amazon,ptx_6114068658,Y,
pid_16,oid_32,cid_2920,Sam Scott,Alkalinity Checker,Testing & Calibration,Apple Pay,2,55.0,2024-05-10 03:38:17,Canada,Vancouver,EBay,ptx_6634204433,Y,
pid_7,oid_32,cid_2920,Sam Scott,DC Return Pump 1300 GPH,Pumps,Apple Pay,4,129.0,2024-05-10 03:38:17,Canada,Vancouver,EBay,ptx_6634204433,Y,
pid_6,oid_32,cid_2920,Sam Scott,Sicce Syncra 2.0 Return Pump,Pumps,Apple Pay,4,95.0,2024-05-10 03:38:17,Canada,Vancouver,EBay,ptx_6634204433,Y,
pid_18,oid_32,cid_2920,Sam Scott,Coral Food 60 g,Consumables,Apple Pay,1,14.5,2024-05-10 03:38:17,Canada,Vancouver,EBay,ptx_6634204433,Y,
pid_20,oid_32,cid_2920,Sam Scott,Amino Acids 250 ml,Consumables,Apple Pay,1,24.0,2024-05-10 03:38:17,Canada,Vancouver,EBay,ptx_6634204433,Y,
