order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price
1.0,72.0,Kristopher Mayo,59,Gloves,Clothing,UPI,76,899.27
2.0,13285.0,Joanna Johnson,17,Licensed Cotton Chicken,Kids,Wallet,55,908.14
3.0,2112.0,Jon Rasmussen,39,Sleek Ball,Clothing,Credit Card,9,54.78
4.0,10708.0,Anthony Mejia,99,Plastic Hat,Movies,Bank Transfer,87,42.52
5.0,7683.0,Amanda Rodriguez,69,Wooden Salad,Clothing,Bank Transfer,89,822.15
6.0,9143.0,Charles Franklin,20,Gorgeous Cotton Chips,Outdoors,Credit Card,14,318.9
7.0,14248.0,Miguel Black,81,Refined Chicken,Games,Bank Transfer,34,1815.75
8.0,6931.0,Shawn Martin,5,Sleek Granite Bacon,Shoes,UPI,8,610.11
9.0,11219.0,Jennifer Martinez,58,Cheese,Shoes,Credit Card,47,1447.84
10.0,238.0,Ann Ball,100,Mouse,Tools,Debit Card,89,695.39
11.0,8594.0,Thomas Jimenez,17,Licensed Chicken,Industrial,Credit Card,33,1891.38
12.0,5598.0,Shirley Hensley,14,Keyboard,Sports,Debit Card,16,422.75
13.0,9292.0,Maria Harvey,83,Tuna,Games,Wallet,14,853.0
14.0,6743.0,Kelly Murphy,98,Shoes,Music,Debit Card,55,1036.25
15.0,1201.0,Jacob Price,38,Licensed Rubber Pizza,Industrial,Debit Card,72,1587.34
16.0,5462.0,Chris Boyer,84,Awesome Chips,Tools,Credit Card,54,1416.93
17.0,12917.0,William Smith,57,Handcrafted Fresh Car,Jewelery,Debit Card,48,186.81
18.0,9468.0,Daniel Carlson,25,Small Hat,Clothing,Credit Card,55,89.11
19.0,5871.0,Angela Ballard,94,Incredible Fish,Baby,Credit Card,80,734.24
20.0,7074.0,Brian Patel,78,Intelligent Cotton Ball,Movies,Wallet,51,739.7
21.0,2145.0,Michael Holmes,72,Concrete Computer,Sports,Bank Transfer,81,1248.86
22.0,3864.0,Nicholas Carpenter,31,Chair,Computers,Credit Card,28,968.39
23.0,5903.0,Patrick Williams,29,Rustic Granite Fish,Shoes,Debit Card,77,874.8
24.0,7746.0,Jerome Perkins,85,Wooden Ball,Baby,Credit Card,83,544.5
25.0,5352.0,Nancy Erickson,12,Tuna,Games,UPI,35,853.0
26.0,2009.0,Steven Keller,93,Gently Used Tuna,Books,Bank Transfer,81,535.16
27.0,3943.0,Allison Walker,43,Awesome Car,Outdoors,Bank Transfer,56,117.26
28.0,10628.0,Christopher Fisher,23,Shirt,Beauty,Credit Card,67,78.71
29.0,6791.0,Erika Hamilton,24,Handmade Fresh Sausages,Automotive,UPI,61,1812.1
30.0,8708.0,Eric Morrison,4,Wooden Gloves,Sports,Debit Card,66,1532.2
31.0,6891.0,Michael Howard,48,Concrete Fish,Kids,UPI,14,514.36
32.0,1069.0,Michelle Khan,81,Chicken,Games,Bank Transfer,3,1124.22
33.0,10332.0,Johnny Mack,98,Gently Used Steel Shoes,Toys,Bank Transfer,64,387.1
34.0,2178.0,Amber Flynn,66,Computer,Books,Credit Card,40,369.72
35.0,4212.0,Ms. Kimberly Powers MD,46,Computer,Books,Wallet,87,369.72
36.0,4493.0,Janet Mann,53,Bacon,Jewelery,Credit Card,22,556.2
37.0,10770.0,Kimberly Kent,94,Incredible Wooden Fish,Movies,UPI,30,1823.85
38.0,2227.0,Debra Kelly,3,Soft Gloves,Health,Wallet,76,946.66
39.0,6473.0,Scott Cunningham,93,Tuna,Games,Credit Card,4,853.0
40.0,2214.0,Michaela Meyers,10,Ergonomic Cheese,Toys,Debit Card,48,286.79
41.0,1551.0,Brittany Paul,69,Wooden Salad,Clothing,Bank Transfer,85,822.15
42.0,3778.0,Robert Weber,70,Awesome Keyboard,Jewelery,Debit Card,52,1500.22
43.0,507.0,Mr. Tracy Washington,88,Fantastic Hat,Books,Wallet,29,585.25
44.0,8996.0,Victoria Cole,64,Intelligent Tuna,Health,UPI,25,157.7
45.0,5160.0,Kristopher Graham PhD,30,Fresh Fish,Clothing,Credit Card,62,1260.85
46.0,12810.0,Nicolas Franco,64,Intelligent Tuna,Health,Debit Card,22,157.7
47.0,13904.0,Christopher Bell,38,Licensed Pizza,Tools,Wallet,51,655.43
