order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,Date,Country,City,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1.0,72.0,Kristopher Mayo,59,Gloves,Clothing,UPI,76,899.27,2022-01-07 16:13:34,United States,Johnson City,www.garciabutlerfashion.net,TXN5266310,Y,
2.0,13285.0,Joanna Johnson,17,Licensed Cotton Chicken,Kids,Wallet,55,908.14,2019-01-04 19:36:17,France,Grigny,www.jarvismarket.io,TXN3225908,Y,
3.0,2112.0,Jon Rasmussen,39,Sleek Ball,Clothing,Credit Card,9,54.78,2024-12-10 02:22:02,Japan,Aki-takata,www.carpenterfashion.net,TXN5992808,N,Network Error
4.0,10708.0,Anthony Mejia,99,Plastic Hat,Movies,Bank Transfer,87,42.52,2021-04-15 07:32:16,United States,Ruskin,www.wisedeals.in,TXN9861556,Y,
5.0,7683.0,Amanda Rodriguez,69,Wooden Salad,Clothing,Bank Transfer,89,822.15,2024-08-28 09:30:02,Germany,Hellersdorf,www.smithkingtech.com,TXN2719326,Y,
6.0,9143.0,Charles Franklin,20,Gorgeous Cotton Chips,Outdoors,Credit Card,14,318.9,2019-12-17 09:31:19,United States,Derry,www.lanemorenostore.io,TXN7843544,Y,
7.0,14248.0,Miguel Black,81,Refined Chicken,Games,Bank Transfer,34,1815.75,2020-12-19 15:23:20,India,Pānchla,www.rangelrussellshop.com,TXN2852511,Y,
8.0,6931.0,Shawn Martin,5,Sleek Granite Bacon,Shoes,UPI,8,610.11,2021-03-19 06:58:05,Germany,Püttlingen,www.nguyenshop.com,TXN6667752,Y,
9.0,11219.0,Jennifer Martinez,58,Cheese,Shoes,Credit Card,47,1447.84,2016-01-19 07:41:53,United States,North Augusta,www.churchbuchananshop.io,TXN7129521,Y,
10.0,238.0,Ann Ball,100,Mouse,Tools,Debit Card,89,695.39,2017-04-01 16:32:12,United States,Calumet City,www.ochoashop.com,TXN5442525,Y,
11.0,8594.0,Thomas Jimenez,17,Licensed Chicken,Industrial,Credit Card,33,1891.38,2021-09-10 07:43:39,Italy,Grottaferrata,www.bakermart.net,TXN2566587,Y,
12.0,5598.0,Shirley Hensley,14,Keyboard,Sports,Debit Card,16,422.75,2024-08-02 20:29:29,Brazil,Maracanã,www.williamsstore.com,TXN1717145,N,Card Declined
13.0,9292.0,Maria Harvey,83,Tuna,Games,Wallet,14,853.0,2019-04-05 00:46:12,United States,Brookfield,www.hallfitzgeraldshop.in,TXN6948759,N,Insufficient Funds
14.0,6743.0,Kelly Murphy,98,Shoes,Music,Debit Card,55,1036.25,2024-10-05 13:57:49,India,Cumbum,www.morganwoodtech.in,TXN6617359,Y,
15.0,1201.0,Jacob Price,38,Licensed Rubber Pizza,Industrial,Debit Card,72,1587.34,2017-06-23 09:50:40,Italy,Nocera Inferiore,www.steelediazshop.co,TXN9831187,Y,
16.0,5462.0,Chris Boyer,84,Awesome Chips,Tools,Credit Card,54,1416.93,2017-09-17 14:58:08,Brazil,Jaguariúna,www.wrightstore.io,TXN3582245,Y,
17.0,12917.0,William Smith,57,Handcrafted Fresh Car,Jewelery,Debit Card,48,186.81,2019-07-04 02:28:22,Brazil,Cascavel,www.barkermart.in,TXN9942731,Y,
18.0,9468.0,Daniel Carlson,25,Small Hat,Clothing,Credit Card,55,89.11,2023-01-04 03:09:34,Brazil,Guaraí,www.robertsdeals.io,TXN1801725,N,Network Error
19.0,5871.0,Angela Ballard,94,Incredible Fish,Baby,Credit Card,80,734.24,2020-09-30 22:22:29,United States,Oro Valley,www.coxmarket.io,TXN2303419,Y,
20.0,7074.0,Brian Patel,78,Intelligent Cotton Ball,Movies,Wallet,51,739.7,2020-08-09 22:14:25,India,Shāhābād,www.millsandrewsdeals.io,TXN7134178,Y,
21.0,2145.0,Michael Holmes,72,Concrete Computer,Sports,Bank Transfer,81,1248.86,2024-08-30 04:37:50,Germany,Uelzen,www.wardfashion.co,TXN8906283,Y,
22.0,3864.0,Nicholas Carpenter,31,Chair,Computers,Credit Card,28,968.39,2019-05-03 22:47:53,United Kingdom,Norris Green,www.perezaguilartech.net,TXN8283868,Y,
23.0,5903.0,Patrick Williams,29,Rustic Granite Fish,Shoes,Debit Card,77,874.8,2024-12-14 11:34:24,Germany,Emsdetten,www.murphyshop.in,TXN8745300,Y,
24.0,7746.0,Jerome Perkins,85,Wooden Ball,Baby,Credit Card,83,544.5,2021-06-18 12:58:05,India,Sāyla,www.kleintech.in,TXN7085132,Y,
25.0,5352.0,Nancy Erickson,12,Tuna,Games,UPI,35,853.0,2021-05-10 02:20:08,India,Māngrol,www.lawrencetech.in,TXN8818078,N,Expired Card
26.0,2009.0,Steven Keller,93,Gently Used Tuna,Books,Bank Transfer,81,535.16,2021-07-31 16:29:15,India,Katihar,www.aguilarlewisshop.net,TXN5647536,Y,
27.0,3943.0,Allison Walker,43,Awesome Car,Outdoors,Bank Transfer,56,117.26,2022-12-19 11:15:21,United States,UC Irvine,www.collinsshop.com,TXN1639046,Y,
28.0,10628.0,Christopher Fisher,23,Shirt,Beauty,Credit Card,67,78.71,2020-12-01 00:56:08,Spain,Piovera,www.lefashion.co,TXN1043671,Y,
29.0,6791.0,Erika Hamilton,24,Handmade Fresh Sausages,Automotive,UPI,61,1812.1,2017-07-03 06:23:59,United States,Tamiami,www.martinstore.in,TXN8027009,Y,
30.0,8708.0,Eric Morrison,4,Wooden Gloves,Sports,Debit Card,66,1532.2,2023-03-21 10:59:11,Germany,Nidderau,www.andersonfashion.io,TXN2802783,N,Card Declined
31.0,6891.0,Michael Howard,48,Concrete Fish,Kids,UPI,14,514.36,2022-09-03 03:03:12,Italy,Rocca di Papa,www.martinezshop.net,TXN2282310,Y,
32.0,1069.0,Michelle Khan,81,Chicken,Games,Bank Transfer,3,1124.22,2016-04-18 16:38:39,India,Desāīganj,www.owenstech.com,TXN5268870,Y,
33.0,10332.0,Johnny Mack,98,Gently Used Steel Shoes,Toys,Bank Transfer,64,387.1,2023-04-15 21:25:32,Mexico,Villa Hidalgo,www.gillramirezmart.com,TXN6627682,Y,
34.0,2178.0,Amber Flynn,66,Computer,Books,Credit Card,40,369.72,2017-10-27 06:28:58,India,Handiā,www.howelltech.com,TXN6008321,Y,
35.0,4212.0,Ms. Kimberly Powers MD,46,Computer,Books,Wallet,87,369.72,2016-04-11 12:18:25,United States,Paragould,www.quinnsheatech.co,TXN1027997,Y,
36.0,4493.0,Janet Mann,53,Bacon,Jewelery,Credit Card,22,556.2,2017-05-21 17:19:25,Germany,Waghäusel,www.hallmarket.net,TXN2777777,Y,
37.0,10770.0,Kimberly Kent,94,Incredible Wooden Fish,Movies,UPI,30,1823.85,2024-07-04 22:28:13,India,Kuthalam,www.smithtech.co,TXN4791462,Y,
38.0,2227.0,Debra Kelly,3,Soft Gloves,Health,Wallet,76,946.66,2020-02-13 03:28:40,United Kingdom,Leighton Buzzard,www.tannerlogandeals.net,TXN7750423,Y,
39.0,6473.0,Scott Cunningham,93,Tuna,Games,Credit Card,4,853.0,2018-01-04 22:27:51,United States,Hurst,www.graymart.com,TXN6922659,Y,
40.0,2214.0,Michaela Meyers,10,Ergonomic Cheese,Toys,Debit Card,48,286.79,2023-07-28 10:28:16,Brazil,Brasília,www.williamsonmaciasstore.in,TXN8894738,Y,
41.0,1551.0,Brittany Paul,69,Wooden Salad,Clothing,Bank Transfer,85,822.15,2022-08-07 10:12:24,United States,Dale City,www.deleonhoffmanshop.io,TXN8475564,Y,
42.0,3778.0,Robert Weber,70,Awesome Keyboard,Jewelery,Debit Card,52,1500.22,2019-06-25 14:30:21,United States,Rosedale,www.kiddduncanmart.in,TXN5836835,Y,
43.0,507.0,Mr. Tracy Washington,88,Fantastic Hat,Books,Wallet,29,585.25,2020-09-12 16:25:11,Mexico,Ciudad Mendoza,www.jonesdeals.io,TXN8875611,Y,
44.0,8996.0,Victoria Cole,64,Intelligent Tuna,Health,UPI,25,157.7,2053-07-01 11:42:40,India,Proddatūr,www.martinezdeals.co,TXN4589720,Y,
45.0,5160.0,Kristopher Graham PhD,30,Fresh Fish,Clothing,Credit Card,62,1260.85,2017-04-14 11:23:48,Japan,Tagajō-shi,www.davisfashion.io,TXN5549778,Y,
46.0,12810.0,Nicolas Franco,64,Intelligent Tuna,Health,Debit Card,22,157.7,2025-05-03 10:29:35,Japan,Gosen,www.mitchellshop.io,TXN5099485,Y,
47.0,13904.0,Christopher Bell,38,Licensed Pizza,Tools,Wallet,51,655.43,2021-09-08 10:54:39,Germany,Nagold,www.pollardtech.in,TXN5748845,Y,
48.0,818.0,Francisco Ferguson,34,Handcrafted Chicken,Toys,Debit Card,23,1864.83,2017-10-25 22:52:51,India,Neyveli,www.jonestech.in,TXN4143841,Y,
49.0,10972.0,Sean Fleming,64,Intelligent Frozen Tuna,Computers,Credit Card,65,100.23,2019-08-21 06:52:36,India,Pul Pehlad,www.mirandashop.co,TXN2572833,Y,
50.0,11356.0,Courtney Patrick,26,Chips,Electronics,Wallet,23,926.26,2017-04-29 15:25:31,India,Singampunari,www.adamsmarket.co,TXN8243899,Y,
51.0,11606.0,Eric Coleman,57,Handcrafted Fresh Car,Jewelery,Credit Card,60,186.81,2020-05-23 19:01:48,India,Umarkot,www.beasleydeals.net,TXN1692019,Y,
52.0,9283.0,Victor Roy,4,Awesome Wooden Gloves,Sports,Credit Card,19,518.37,2019-02-25 12:11:31,United States,South Valley,www.edwardsdeals.in,TXN3857637,Y,
53.0,5608.0,Kathy Mckinney,14,Used Keyboard,Automotive,Wallet,45,1920.3,2023-06-02 11:08:29,India,Hindoria,www.brownsparksmarket.com,TXN3657420,Y,
54.0,14159.0,Robert Roberts,41,Generic Plastic Hat,Outdoors,UPI,89,766.66,2024-04-02 14:10:16,Japan,Yokosuka,www.stanleymart.co,TXN7248686,Y,
55.0,12644.0,Bailey Jackson,76,Shoes,Music,Debit Card,91,1036.25,2019-06-02 02:30:19,India,Lāwar Khās,www.ericksontech.io,TXN9102026,Y,
56.0,7695.0,Casey Evans,49,Handcrafted Computer,Automotive,Wallet,59,548.58,2025-07-21 08:17:32,United States,Bangor,www.reyesstore.io,TXN9967401,Y,
57.0,9391.0,Bradley Moran,38,Licensed Pizza,Tools,Debit Card,86,655.43,2017-06-13 05:47:21,United States,Navarre,www.barrettdeals.co,TXN6436083,Y,
58.0,10424.0,Lauren Goodman,37,Used Salad,Music,Debit Card,80,19.87,2018-03-26 08:48:37,India,Bhudgaon,www.kleinellisshop.com,TXN8021141,Y,
59.0,2803.0,Angela Moody,49,Computer,Books,Debit Card,23,369.72,2025-01-04 11:23:31,United States,Lewisville,www.valenciafashion.co,TXN3129299,Y,
60.0,7365.0,James Jones,45,Pants,Home,Bank Transfer,83,74.86,2015-11-25 06:21:59,United States,Emporia,www.caldwellcolemart.io,@#%,Y,
61.0,9859.0,Taylor Hernandez,66,Awesome Rubber Computer,Baby,UPI,60,1290.5,2022-02-03 20:16:48,India,Phirangipuram,www.piercedeals.co,TXN3291949,Y,
62.0,2081.0,Roger Brown,52,Soft Pants,Garden,Credit Card,9,405.53,2016-02-10 21:10:38,Mexico,Tenosique,www.mossdeals.in,TXN5029713,Y,
63.0,13940.0,Karen Peterson,80,Handmade Soft Pants,Beauty,UPI,56,589.27,2017-07-08 11:46:01,Germany,Halle,www.smithtech.co,TXN3149195,Y,
64.0,2411.0,David Palmer,13,Pants,Home,UPI,29,74.86,2018-10-30 20:16:55,India,Nagaon,www.campbelldeals.co,TXN7097823,Y,
65.0,13901.0,Elizabeth Walsh,1,Gently Used Wooden Mouse,Games,Wallet,5,1414.58,2025-06-03 10:54:18,Japan,Takahama,www.riverashop.co,TXN2536221,Y,
66.0,2126.0,Vincent Contreras,27,Cotton Pizza,Computers,Bank Transfer,70,642.72,2023-06-10 15:11:18,United States,South Peabody,www.davisstore.net,TXN6777656,Y,
67.0,3720.0,Wendy Gutierrez,71,Tasty Fresh Table,Books,Debit Card,11,385.79,2018-10-13 16:26:28,United States,Portland,www.figueroastore.in,TXN3782563,Y,
68.0,10633.0,Paul Hunter,14,Used Keyboard,Automotive,Debit Card,16,1920.3,2021-08-13 23:32:25,Japan,Suita,www.bradleydavisstore.in,TXN2856437,Y,
69.0,4512.0,Diane Figueroa,42,Steel Pizza,Outdoors,Wallet,51,1229.75,2017-06-07 21:02:03,Brazil,Poção de Pedras,www.jonesfashion.net,TXN3223825,Y,
70.0,10881.0,Yvonne Kirk,31,Wooden Chair,Health,UPI,22,1037.39,2021-09-18 07:42:27,Germany,Waldshut-Tiengen,www.mendozamarket.in,TXN1870823,Y,
71.0,4503.0,Anthony Miller,46,Computer,Books,Wallet,68,369.72,2024-08-05 17:14:49,India,Tiruppuvanam,www.ruizstore.com,TXN2689296,Y,
72.0,7951.0,Kevin Austin,36,Table,Baby,Bank Transfer,12,1475.53,2017-09-10 08:25:40,United States,Oakville,www.woodpricemarket.io,TXN7278610,Y,
73.0,11260.0,Brooke Huang,36,Ergonomic Table,Movies,Bank Transfer,28,655.68,2024-01-10 07:32:14,India,Chaumu,www.vincentkirkstore.co,TXN1327980,Y,
74.0,11629.0,Mary Leonard,10,Ergonomic Rubber Cheese,Automotive,Wallet,29,637.8,2023-05-14 02:21:38,Germany,Schwäbisch Gmünd,www.livingstonstore.in,TXN4362054,Y,
75.0,5794.0,Victoria Jackson,53,Metal Bacon,Industrial,Credit Card,45,1310.64,2021-07-28 02:53:26,Mexico,Ensenada,www.christensenjonestech.in,TXN7959499,Y,
76.0,4784.0,Dr. Joel Rivera,81,Granite Chicken,Industrial,Bank Transfer,35,1733.0,2016-07-08 22:58:16,Brazil,Pacajá,www.bushsullivandeals.co,TXN1997201,Y,
77.0,14797.0,Mark Burgess,99,Plastic Hat,Movies,Credit Card,52,42.52,2021-04-23 02:22:35,India,Hadagalli,www.mendezmarket.io,TXN6182289,Y,
78.0,12750.0,Samuel Barrett,38,Licensed Rubber Pizza,Industrial,Credit Card,2,1587.34,2052-10-18 23:15:22,United States,Zanesville,www.sullivanstore.com,TXN9868179,Y,
